"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsgeneratorstartwert","Datum gestartet","Datum letzte Aktivität","Weiterleitungs-URL","Projekt / Project","Datenerhebung / Data collection?","Welche Komponenten sollen durchgeführt werden / Which components should be executed?","Versuchspersonen-ID / Participant-ID","Stichprobe / Sample","Bitte Audio überprüfen / Please check if audio works","Bitte mit [F11] in den Vollbildmodus wechseln / Please press [F11] to switch to full screen mode","Als nächstes möchten wir Sie bitten, verschiedene Aufgaben und Fragebögen am Computer zu bearbeiten.  Die Bearbeitungsdauer beträgt insgesamt ca. 40 min.     Bitte bearbeiten Sie zunächst einige Aufgaben,  die unterschiedliche Aspekte Ihres Denkens testen (z.B. das Gedächtnis oder Problemlösefähigkeiten).     Bitte versuchen Sie, jede Aufgabe so gut wie möglich zu bearbeiten.     Manchmal kann es einen Moment dauern, bis die nächste Aufgabe startet.  Jede Aufgabe wird Ihnen zunächst erklärt und Sie bekommen die Gelegenheit, sie zu üben.  Falls Sie zwischendrin eine kurze Pause einlegen möchten, tun Sie dies bitte zwischen den Aufgaben.     Bitte klicken Sie auf ""Absenden"", um die erste Aufgabe zu starten.      ","Als nächstes möchten wir dich bitten, verschiedene Aufgaben und Fragebögen am Computer zu bearbeiten.  Die Bearbeitungsdauer beträgt insgesamt ca. 40 min.     Bitte bearbeite zunächst einige Aufgaben,  die unterschiedliche Aspekte deines Denkens testen (z.B. das Gedächtnis oder Problemlösefähigkeiten).     Bitte versuche, jede Aufgabe so gut wie möglich zu bearbeiten.     Manchmal kann es einen Moment dauern, bis die nächste Aufgabe startet.  Jede Aufgabe wird dir zunächst erklärt und du bekommst die Gelegenheit, sie zu üben.  Falls du zwischendrin eine kurze Pause einlegen möchtest, tue dies bitte zwischen den Aufgaben.     Bitte klicke auf ""Absenden"", um die erste Aufgabe zu starten.      ","Als nächstes möchten wir dich bitten, verschiedene Aufgaben und Fragebögen am Computer zu bearbeiten.  Die Bearbeitungsdauer beträgt insgesamt ungefähr 25 min.     Bitte bearbeite zunächst einige Aufgaben,  die unterschiedliche Aspekte deines Denkens testen (z.B. das Gedächtnis oder Problemlösefähigkeiten).     Bitte versuche, jede Aufgabe so gut wie möglich zu bearbeiten.     Manchmal kann es einen Moment dauern, bis die nächste Aufgabe startet.  Jede Aufgabe wird dir zunächst erklärt und du bekommst die Gelegenheit, sie zu üben.  Falls du zwischendrin eine kurze Pause einlegen möchtest, tue dies bitte zwischen den Aufgaben.     Bitte klicke auf ""Absenden"", um die erste Aufgabe zu starten.      ","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id={vpid}&amp;p={project}&amp;comp={components}","https://umfragen.uni-hamburg.de/ru5389bb2quest?id={vpid}&amp;p={project} ","https://www.psytoolkit.org/c/3.4.4/survey?s=xAZS7&amp;id={vpid}&amp;p={project}&amp;comp={components} ","https://umfragen.uni-hamburg.de/ru5389bb2questadols?id={vpid}&amp;p={project} ","https://umfragen.uni-hamburg.de/ru5389bb2questchildren?id={vpid}&amp;p={project}&amp;form={sample} ","https://www.psytoolkit.org/c/3.4.4/survey?s=MsrpN&amp;id={vpid}&amp;p={project}&amp;form={sample}&amp;comp={components}","https://umfragen.uni-hamburg.de/ru5389bb2questparents?id={vpid}&amp;p={project}&amp;form={sample}","Gesamtzeit","Gruppenzeit: ID","Fragenzeit: project","Fragenzeit: datacollection","Fragenzeit: components","Fragenzeit: vpid","Fragenzeit: sample","Fragenzeit: Audio","Fragenzeit: F11","Gruppenzeit: Info","Fragenzeit: InfoAdults","Fragenzeit: InfoAdols","Fragenzeit: InfoChild","Fragenzeit: URLCognAdults","Fragenzeit: URLQuestAdults","Fragenzeit: URLCognAdols","Fragenzeit: URLQuestAdols","Fragenzeit: URLQuestChild","Fragenzeit: URLCognChild","Fragenzeit: URLQuestParent"
"92","2024-06-06 09:23:24","2","de","871647804","2024-06-06 09:20:23","2024-06-06 09:23:24","","Testing mode(No actual data collection)","Testing modeNo data collection","Nur die FragebögenQuestionnaires only","99999","","","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=99999&amp;p=99","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=99999&amp;p=99","","","","","","32.11","32.11","","","","","","","","","","","","","","","","","",""
"93","2024-06-07 09:33:07","2","de","284671004","2024-06-07 08:50:47","2024-06-07 09:33:07","","P7(Riesel & Lincoln)","PilotierungPilot","Nur die FragebögenQuestionnaires only","79009","","","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=79009&amp;p=7","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=79009&amp;p=7","","","","","","2525.28","2525.28","","","","","","","","","","","","","","","","","",""
"94","2024-06-07 15:10:00","2","de","1346948885","2024-06-07 14:56:06","2024-06-07 15:10:00","","P7(Riesel & Lincoln)","PilotierungPilot","Nur die FragebögenQuestionnaires only","79010","","","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=79010&amp;p=7","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=79010&amp;p=7","","","","","","833.87","833.87","","","","","","","","","","","","","","","","","",""
"95","2024-06-11 08:13:40","2","de","127845681","2024-06-11 08:03:36","2024-06-11 08:13:40","","P7(Riesel & Lincoln)","PilotierungPilot","Nur die FragebögenQuestionnaires only","79011","","","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=79011&amp;p=7","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=79011&amp;p=7","","","","","","604.24","604.24","","","","","","","","","","","","","","","","","",""
"96","2024-06-12 11:38:05","2","de","1402023289","2024-06-12 11:37:43","2024-06-12 11:38:05","","Testing mode(No actual data collection)","PilotierungPilot","Nur die FragebögenQuestionnaires only","99999","","","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=99999&amp;p=99","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=99999&amp;p=99","","","","","","22.01","22.01","","","","","","","","","","","","","","","","","",""
"97","2024-06-14 08:39:58","2","de","72388521","2024-06-14 08:31:27","2024-06-14 08:39:58","","P7(Riesel & Lincoln)","PilotierungPilot","Nur die FragebögenQuestionnaires only","79012","","","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=79012&amp;p=7","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=79012&amp;p=7","","","","","","511.89","511.89","","","","","","","","","","","","","","","","","",""
"123","2024-06-20 14:53:53","2","de","783386318","2024-06-20 14:52:36","2024-06-20 14:53:53","","P7(Riesel & Lincoln)","PilotierungPilot","Nur die FragebögenQuestionnaires only","79013","","","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=79013&amp;p=7","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=79013&amp;p=7","","","","","https://umfragen.uni-hamburg.de/ru5389bb2questparents?id=79013&amp;p=7&amp;form=1","77.02","77.02","","","","","","","","","","","","","","","","","",""
"124","","","de","2088907200","2024-06-20 15:27:26","2024-06-20 15:27:26","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"125","2024-06-21 09:08:53","2","de","1958722351","2024-06-21 09:07:53","2024-06-21 09:08:53","","P7(Riesel & Lincoln)","PilotierungPilot","Nur die FragebögenQuestionnaires only","79013","","","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=79013&amp;p=7","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=79013&amp;p=7","","","","","https://umfragen.uni-hamburg.de/ru5389bb2questparents?id=79013&amp;p=7&amp;form=1","60.15","60.15","","","","","","","","","","","","","","","","","",""
"126","2024-06-21 12:57:09","2","de","2118110526","2024-06-21 12:56:19","2024-06-21 12:57:09","","P7(Riesel & Lincoln)","PilotierungPilot","Nur die FragebögenQuestionnaires only","79014","","","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=79014&amp;p=7","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=79014&amp;p=7","","","","","https://umfragen.uni-hamburg.de/ru5389bb2questparents?id=79014&amp;p=7&amp;form=1","50.02","50.02","","","","","","","","","","","","","","","","","",""
"127","","","de","818438376","2024-06-24 10:03:11","2024-06-24 10:03:11","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"128","2024-06-24 12:33:49","2","de","859662442","2024-06-24 12:32:35","2024-06-24 12:33:49","","P8(Lüken, Asbrand & Bruckner)","Testing modeNo data collection","Fragebögen und DenkaufgabenBoth questionnaires and cognitive tasks","99999","","erledigt / done","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=99999&amp;p=8","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=99999&amp;p=8","","","","","https://umfragen.uni-hamburg.de/ru5389bb2questparents?id=99999&amp;p=8&amp;form=1","74.59","64.99","","","","","","","","9.6","","","","","","","","","",""
"129","","","de","1734449995","2024-06-24 12:36:21","2024-06-24 12:36:21","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"130","","","de","353294713","2024-06-24 17:46:45","2024-06-24 17:46:45","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"131","","","de","1285875863","2024-06-25 12:25:08","2024-06-25 12:25:08","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"132","","","de","1326458622","2024-06-25 13:31:41","2024-06-25 13:31:41","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"133","","","de","760992391","2024-06-26 09:28:34","2024-06-26 09:28:34","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"134","","","de","9007066","2024-06-26 10:29:46","2024-06-26 10:29:46","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"135","2024-06-26 13:33:11","2","de","1491211380","2024-06-26 13:32:46","2024-06-26 13:33:11","","P2(Donner & Lincoln)","Testing modeNo data collection","Nur die DenkaufgabenCognitive tasks only","99999","","erledigt / done","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=99999&amp;p=2","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=99999&amp;p=2","","","","","https://umfragen.uni-hamburg.de/ru5389bb2questparents?id=99999&amp;p=2&amp;form=1","25.5","21.27","","","","","","","","4.23","","","","","","","","","",""
"136","","","de","1338449382","2024-06-27 14:21:15","2024-06-27 14:21:15","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"137","","","de","304228483","2024-06-29 07:41:33","2024-06-29 07:41:33","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"138","2024-07-03 14:41:17","2","de","1789404009","2024-07-03 14:37:40","2024-07-03 14:41:17","","P8(Lüken, Asbrand & Bruckner)","Testing modeNo data collection","Fragebögen und DenkaufgabenBoth questionnaires and cognitive tasks","99999","","erledigt / done","erledigt / done","","","","","","","","https://umfragen.uni-hamburg.de/ru5389bb2questchildren?id=99999&amp;p=8&amp;form=K","","https://umfragen.uni-hamburg.de/ru5389bb2questparents?id=99999&amp;p=8&amp;form=K","216.52","216.52","","","","","","","","","","","","","","","","","",""
"139","2024-07-03 14:51:13","2","de","767541805","2024-07-03 14:50:57","2024-07-03 14:51:13","","Testing mode(No actual data collection)","Testing modeNo data collection","Nur die FragebögenQuestionnaires only","99999","","","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=99999&amp;p=99","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=99999&amp;p=99","","","","","https://umfragen.uni-hamburg.de/ru5389bb2questparents?id=99999&amp;p=99&amp;form=1","15.43","15.43","","","","","","","","","","","","","","","","","",""
"140","2024-07-03 14:56:27","2","de","2014832445","2024-07-03 14:55:22","2024-07-03 14:56:27","","P8(Lüken, Asbrand & Bruckner)","Testing modeNo data collection","Fragebögen und DenkaufgabenBoth questionnaires and cognitive tasks","99999","","erledigt / done","erledigt / done","","","","","","","","https://umfragen.uni-hamburg.de/ru5389bb2questchildren?id=99999&amp;p=8&amp;form=K","","https://umfragen.uni-hamburg.de/ru5389bb2questparents?id=99999&amp;p=8&amp;form=K","64.09","64.09","","","","","","","","","","","","","","","","","",""
"141","2024-07-03 15:09:03","2","de","1410012585","2024-07-03 15:08:43","2024-07-03 15:09:03","","P8(Lüken, Asbrand & Bruckner)","Testing modeNo data collection","Nur die FragebögenQuestionnaires only","99999","","","erledigt / done","","","","","","","","https://umfragen.uni-hamburg.de/ru5389bb2questchildren?id=99999&amp;p=8&amp;form=K","","https://umfragen.uni-hamburg.de/ru5389bb2questparents?id=99999&amp;p=8&amp;form=K","19.14","19.14","","","","","","","","","","","","","","","","","",""
"142","2024-07-03 15:38:17","2","de","1765580891","2024-07-03 15:18:58","2024-07-03 15:38:17","","P8(Lüken, Asbrand & Bruckner)","Testing modeNo data collection","Nur die FragebögenQuestionnaires only","99999","","","erledigt / done","","","","","","","","","","https://umfragen.uni-hamburg.de/ru5389bb2questparents?id=99999&amp;p=8&amp;form=E","1159.93","1159.93","","","","","","","","","","","","","","","","","",""
"143","","","de","1041315708","2024-07-03 15:33:56","2024-07-03 15:33:56","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"144","2024-07-03 15:54:17","2","de","1990059086","2024-07-03 15:53:55","2024-07-03 15:54:17","","Testing mode(No actual data collection)","Testing modeNo data collection","Nur die DenkaufgabenCognitive tasks only","99999","","erledigt / done","erledigt / done","","","","","","","","","","https://umfragen.uni-hamburg.de/ru5389bb2questparents?id=99999&amp;p=99&amp;form=E","21.87","21.87","","","","","","","","","","","","","","","","","",""
